2020-08-19 15:00:09,858|INFO    |numexpr.utils|_init_num_threads|NumExpr defaulting to 8 threads.
2020-08-19 15:00:39,244|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.219357e+03, l1:1.634273e+03, TSV:3.481451e+01, beta:8.281448e+01, sum:9.580291e+03
2020-08-19 15:00:39,316|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.223276e+03, l1:1.631881e+03, TSV:3.414746e+01, beta:8.265449e+01, sum:9.574374e+03
2020-08-19 15:00:39,387|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.226123e+03, l1:1.630426e+03, TSV:3.381676e+01, beta:8.263523e+01, sum:9.571557e+03
2020-08-19 15:00:39,458|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.232003e+03, l1:1.627740e+03, TSV:3.327109e+01, beta:8.305557e+01, sum:9.567638e+03
2020-08-19 15:00:39,530|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.238209e+03, l1:1.625266e+03, TSV:3.293428e+01, beta:8.339771e+01, sum:9.565295e+03
2020-08-19 15:00:39,601|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.244211e+03, l1:1.623208e+03, TSV:3.266289e+01, beta:8.347546e+01, sum:9.564011e+03
2020-08-19 15:00:39,671|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.250473e+03, l1:1.621116e+03, TSV:3.249180e+01, beta:8.331388e+01, sum:9.562953e+03
2020-08-19 15:00:39,743|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.255079e+03, l1:1.619559e+03, TSV:3.244678e+01, beta:8.309122e+01, sum:9.562272e+03
2020-08-19 15:00:39,816|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.258146e+03, l1:1.618418e+03, TSV:3.247827e+01, beta:8.288440e+01, sum:9.561624e+03
2020-08-19 15:00:39,889|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.260085e+03, l1:1.617663e+03, TSV:3.251771e+01, beta:8.265815e+01, sum:9.561072e+03
2020-08-19 15:00:39,959|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.261090e+03, l1:1.617177e+03, TSV:3.254953e+01, beta:8.247079e+01, sum:9.560454e+03
2020-08-19 15:00:40,030|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.261382e+03, l1:1.616783e+03, TSV:3.259514e+01, beta:8.217472e+01, sum:9.559347e+03
2020-08-19 15:00:40,100|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.259329e+03, l1:1.616910e+03, TSV:3.269210e+01, beta:8.170415e+01, sum:9.557532e+03
2020-08-19 15:00:40,170|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.253303e+03, l1:1.617824e+03, TSV:3.301833e+01, beta:8.055683e+01, sum:9.554281e+03
2020-08-19 15:00:40,242|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.242011e+03, l1:1.620336e+03, TSV:3.330774e+01, beta:7.939043e+01, sum:9.550681e+03
2020-08-19 15:00:40,315|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.224526e+03, l1:1.624444e+03, TSV:3.371119e+01, beta:7.795997e+01, sum:9.546033e+03
2020-08-19 15:00:40,386|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.207193e+03, l1:1.628101e+03, TSV:3.398720e+01, beta:7.649785e+01, sum:9.539676e+03
2020-08-19 15:00:40,458|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.179595e+03, l1:1.633867e+03, TSV:3.426587e+01, beta:7.468180e+01, sum:9.529378e+03
2020-08-19 15:00:40,531|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.167084e+03, l1:1.635914e+03, TSV:3.418120e+01, beta:7.423014e+01, sum:9.522618e+03
2020-08-19 15:00:40,602|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.160498e+03, l1:1.635429e+03, TSV:3.372632e+01, beta:7.473828e+01, sum:9.513568e+03
2020-08-19 15:00:40,672|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.168844e+03, l1:1.630588e+03, TSV:3.302319e+01, beta:7.637036e+01, sum:9.506014e+03
2020-08-19 15:00:40,743|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.181840e+03, l1:1.625403e+03, TSV:3.273053e+01, beta:7.706426e+01, sum:9.502382e+03
2020-08-19 15:00:40,815|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.186752e+03, l1:1.623622e+03, TSV:3.254456e+01, beta:7.723499e+01, sum:9.501245e+03
2020-08-19 15:00:40,886|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.191767e+03, l1:1.621770e+03, TSV:3.241217e+01, beta:7.764782e+01, sum:9.500400e+03
2020-08-19 15:00:40,958|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.194006e+03, l1:1.620898e+03, TSV:3.239124e+01, beta:7.783388e+01, sum:9.499999e+03
2020-08-19 15:00:41,030|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.197669e+03, l1:1.619459e+03, TSV:3.241012e+01, beta:7.801293e+01, sum:9.499350e+03
2020-08-19 15:00:41,101|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.200626e+03, l1:1.618319e+03, TSV:3.245035e+01, beta:7.801311e+01, sum:9.498831e+03
2020-08-19 15:00:41,171|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.205279e+03, l1:1.616613e+03, TSV:3.245030e+01, beta:7.794727e+01, sum:9.498022e+03
2020-08-19 15:00:41,241|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.209594e+03, l1:1.615011e+03, TSV:3.244096e+01, beta:7.795732e+01, sum:9.497252e+03
2020-08-19 15:00:41,313|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.211734e+03, l1:1.614230e+03, TSV:3.239901e+01, beta:7.794781e+01, sum:9.496781e+03
2020-08-19 15:00:41,385|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.213157e+03, l1:1.613675e+03, TSV:3.233775e+01, beta:7.787845e+01, sum:9.496184e+03
2020-08-19 15:00:41,457|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.213866e+03, l1:1.613230e+03, TSV:3.229194e+01, beta:7.777750e+01, sum:9.495242e+03
2020-08-19 15:00:41,528|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.214814e+03, l1:1.612235e+03, TSV:3.232448e+01, beta:7.758330e+01, sum:9.492951e+03
2020-08-19 15:00:41,600|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.209968e+03, l1:1.612470e+03, TSV:3.258842e+01, beta:7.719633e+01, sum:9.489297e+03
2020-08-19 15:00:41,671|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.204177e+03, l1:1.613324e+03, TSV:3.271663e+01, beta:7.720801e+01, sum:9.486623e+03
2020-08-19 15:00:41,742|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.196258e+03, l1:1.614536e+03, TSV:3.279601e+01, beta:7.731747e+01, sum:9.482896e+03
2020-08-19 15:00:41,814|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.190235e+03, l1:1.614636e+03, TSV:3.291061e+01, beta:7.861118e+01, sum:9.478846e+03
2020-08-19 15:00:41,886|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.188427e+03, l1:1.614436e+03, TSV:3.281038e+01, beta:7.851140e+01, sum:9.475989e+03
2020-08-19 15:00:41,957|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.185982e+03, l1:1.613000e+03, TSV:3.280111e+01, beta:7.931242e+01, sum:9.469773e+03
2020-08-19 15:00:42,029|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.186426e+03, l1:1.612044e+03, TSV:3.278313e+01, beta:8.041543e+01, sum:9.468241e+03
2020-08-19 15:00:42,100|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.187485e+03, l1:1.610532e+03, TSV:3.265981e+01, beta:8.253436e+01, sum:9.466247e+03
2020-08-19 15:00:42,171|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.188312e+03, l1:1.609250e+03, TSV:3.251115e+01, beta:8.420687e+01, sum:9.464224e+03
2020-08-19 15:00:42,244|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.190157e+03, l1:1.607170e+03, TSV:3.233205e+01, beta:8.578468e+01, sum:9.460502e+03
2020-08-19 15:00:42,316|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.193599e+03, l1:1.605411e+03, TSV:3.240119e+01, beta:8.556383e+01, sum:9.458380e+03
2020-08-19 15:00:42,388|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.192979e+03, l1:1.605541e+03, TSV:3.236367e+01, beta:8.511891e+01, sum:9.457608e+03
2020-08-19 15:00:42,459|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.192545e+03, l1:1.605634e+03, TSV:3.233480e+01, beta:8.436698e+01, sum:9.456624e+03
2020-08-19 15:00:42,529|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.192455e+03, l1:1.605571e+03, TSV:3.233214e+01, beta:8.402240e+01, sum:9.455983e+03
2020-08-19 15:00:42,601|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.192251e+03, l1:1.605388e+03, TSV:3.233131e+01, beta:8.401919e+01, sum:9.455192e+03
2020-08-19 15:00:42,673|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.191193e+03, l1:1.605341e+03, TSV:3.232318e+01, beta:8.430671e+01, sum:9.454250e+03
2020-08-19 15:00:42,744|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.187088e+03, l1:1.605878e+03, TSV:3.237121e+01, beta:8.467023e+01, sum:9.452357e+03
2020-08-19 15:00:42,816|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.182371e+03, l1:1.606628e+03, TSV:3.245902e+01, beta:8.496386e+01, sum:9.450584e+03
2020-08-19 15:00:42,887|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.179341e+03, l1:1.607239e+03, TSV:3.249478e+01, beta:8.473573e+01, sum:9.449369e+03
2020-08-19 15:00:42,958|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.177289e+03, l1:1.607569e+03, TSV:3.251082e+01, beta:8.402971e+01, sum:9.447707e+03
2020-08-19 15:00:43,038|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.175848e+03, l1:1.607736e+03, TSV:3.258067e+01, beta:8.272321e+01, sum:9.445708e+03
2020-08-19 15:00:43,113|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.176192e+03, l1:1.607101e+03, TSV:3.261451e+01, beta:8.126418e+01, sum:9.442693e+03
2020-08-19 15:00:43,185|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.178698e+03, l1:1.605597e+03, TSV:3.267813e+01, beta:7.986031e+01, sum:9.439240e+03
2020-08-19 15:00:43,259|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.182079e+03, l1:1.604385e+03, TSV:3.256803e+01, beta:7.927669e+01, sum:9.437857e+03
2020-08-19 15:00:43,331|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.184542e+03, l1:1.603511e+03, TSV:3.245064e+01, beta:7.898008e+01, sum:9.436886e+03
2020-08-19 15:00:43,403|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.187106e+03, l1:1.602627e+03, TSV:3.235050e+01, beta:7.835282e+01, sum:9.435712e+03
2020-08-19 15:00:43,474|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.191138e+03, l1:1.601353e+03, TSV:3.227346e+01, beta:7.715524e+01, sum:9.434274e+03
2020-08-19 15:00:43,545|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.191912e+03, l1:1.601109e+03, TSV:3.227731e+01, beta:7.646355e+01, sum:9.433595e+03
2020-08-19 15:00:43,622|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.192266e+03, l1:1.601022e+03, TSV:3.230293e+01, beta:7.567184e+01, sum:9.432967e+03
2020-08-19 15:00:43,697|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.192603e+03, l1:1.600956e+03, TSV:3.231849e+01, beta:7.511880e+01, sum:9.432587e+03
